eps_mult,epsilon,eps_modified,barrel,barrel_index,hondadeltaj,area_diff,area
1.0,1.2,1.2,c,10,nan,0.05066248385660007,0.20187051259783786
1.0,1.2,1.2,C1,11,0.00029639495187439024,0.12470765257009248,0.05533902082797862
1.0,1.2,1.2,C2,12,0.0017019676743075252,0.07482459154205548,0.10054554488463732
1.0,1.2,1.2,C3,13,0.0033538187853991985,0.03819171859959082,0.13717841782710213
1.0,1.2,1.2,C4,14,0.025052499026060104,0.005455959799941546,0.16211994834112073
1.0,1.2,1.2,C5,15,0.010615133680403233,0.025720953342581572,0.15198745156980067
1.0,1.2,1.2,C6,16,0.03137212246656418,0.036632872942464666,0.10833977317026813
1.0,1.2,1.2,C7,17,nan,0.07014805457067702,0.11847226994158819
1.0,1.2,1.2,C8,18,nan,0.03117691314252312,0.06780978608498792
1.0,1.2,1.2,C9,19,nan,0.2260326202832926,0.2564301105972535
0.98,1.2,1.176,c,10,nan,0.04910363819947391,0.2003116669407117
0.98,1.2,1.176,C1,11,0.0007073665037751198,0.12470765257009248,0.05533902082797862
0.98,1.2,1.176,C2,12,0.0010434394935145974,0.07560401437061856,0.09976612205607424
0.98,1.2,1.176,C3,13,0.0024836906231939793,0.03429460445677543,0.14107553196991754
0.98,1.2,1.176,C4,14,0.018145456910133362,0.003117691314252312,0.15354629722692684
0.98,1.2,1.176,C5,15,0.014862295240163803,0.03039749031396004,0.15666398854117916
0.98,1.2,1.176,C6,16,0.02713889628648758,0.04520652405665852,0.11691342428446203
0.98,1.2,1.176,C7,17,nan,0.06858920891355086,0.11691342428446203
0.98,1.2,1.176,C8,18,nan,0.021044416371203106,0.05767728931366786
0.98,1.2,1.176,C9,19,nan,0.22837088876898184,0.25876837908294276
0.76,1.2,0.9119999999999999,c,10,nan,0.039750564256716976,0.19095859299795473
0.76,1.2,0.9119999999999999,C1,11,0.0010590115562081337,0.13639899499853864,0.0436476783995324
0.76,1.2,0.9119999999999999,C2,12,0.0018872622167691588,0.10054554488463706,0.07482459154205565
0.76,1.2,0.9119999999999999,C3,13,0.004551023244857788,0.051441906685163144,0.12392822974152976
0.76,1.2,0.9119999999999999,C4,14,0.017849447205662727,0.013250188085572325,0.14341380045560678
0.76,1.2,0.9119999999999999,C5,15,0.009494449943304062,0.0,0.126266498227219
0.76,1.2,0.9119999999999999,C6,16,0.014385457150638103,0.010132496771320013,0.08183939699912338
0.76,1.2,0.9119999999999999,C7,17,5.456966881642875e-16,0.058456712142230846,0.10678092751314197
0.76,1.2,0.9119999999999999,C8,18,nan,0.021823839199766184,0.05845671214223094
0.76,1.2,0.9119999999999999,C9,19,nan,0.2190178148262249,0.2494153051401858
0.86,1.2,1.032,c,10,nan,0.0459859468852216,0.19719397562645938
0.86,1.2,1.032,C1,11,0.00036375958006829023,0.12860476671290785,0.05144190668516321
0.86,1.2,1.032,C2,12,0.0014168621273711324,0.09119247094188011,0.08417766548481262
0.86,1.2,1.032,C3,13,0.0024207360111176968,0.04052998708528005,0.1348401493414129
0.86,1.2,1.032,C4,14,0.019592585042119026,0.013250188085572325,0.14341380045560678
0.86,1.2,1.032,C5,15,0.012614917941391468,0.00779422828563078,0.1340607265128498
0.86,1.2,1.032,C6,16,0.015665756538510323,0.03741229577102774,0.10911919599883121
0.86,1.2,1.032,C7,17,5.456969528620835e-16,0.05611844365654161,0.10444265902745273
0.86,1.2,1.032,C8,18,nan,0.019485570714076948,0.0561184436565417
0.86,1.2,1.032,C9,19,nan,0.2229149289690403,0.2533124192830012
0.44,1.2,0.528,c,10,nan,0.032735758799649274,0.183943787540887
0.44,1.2,0.528,C1,11,0.0005876001087017357,0.15822283419830482,0.021823839199766177
0.44,1.2,0.528,C2,12,0.0022941597271710634,0.12704592105578172,0.04832421537091089
0.44,1.2,0.528,C3,13,0.005340347066521645,0.08651593397050165,0.0888542024561911
0.44,1.2,0.528,C4,14,0.015570538118481636,0.05378017517085238,0.10288381337032657
0.44,1.2,0.528,C5,15,0.009053205139935017,0.04676536971378468,0.07950112851343413
0.44,1.2,0.528,C6,16,0.007708800490945578,0.003117691314252312,0.068589208913551
0.44,1.2,0.528,C7,17,nan,0.010911919599883092,0.059236134970794024
0.44,1.2,0.528,C8,18,nan,0.00779422828563078,0.044427101228095484
0.44,1.2,0.528,C9,19,nan,0.22681204311185568,0.2572095334258166
0.8,1.2,0.96,c,10,nan,0.04442710122809544,0.19563512996933322
0.8,1.2,0.96,C1,11,0.00019906117813661695,0.1379578406556648,0.04208883274240624
0.8,1.2,0.96,C2,12,0.0015032783849164844,0.09431016225613244,0.0810599741705603
0.8,1.2,0.96,C3,13,0.0025890497490763664,0.04520652405665852,0.1301636123700344
0.8,1.2,0.96,C4,14,0.012120251543819904,0.019485570714076948,0.13717841782710213
0.8,1.2,0.96,C5,15,0.010314549319446087,0.00389711414281539,0.1301636123700344
0.8,1.2,0.96,C6,16,0.021119022741913795,0.032735758799649274,0.10444265902745273
0.8,1.2,0.96,C7,17,nan,0.04754479254234775,0.09586900791325884
0.8,1.2,0.96,C8,18,nan,0.021044416371203106,0.05767728931366786
0.8,1.2,0.96,C9,19,nan,0.229929734426108,0.2603272247400689
0.9,1.2,1.08,c,10,nan,0.0459859468852216,0.19719397562645938
0.9,1.2,1.08,C1,11,0.0004557814390864223,0.13406072651284942,0.045985946885221646
0.9,1.2,1.08,C2,12,0.0013567052083089948,0.08495708831337549,0.09041304811331727
0.9,1.2,1.08,C3,13,0.0025389734655618668,0.04364767839953237,0.13172245802716057
0.9,1.2,1.08,C4,14,0.016727201640605927,0.0046765369713784675,0.16134052551255765
0.9,1.2,1.08,C5,15,0.011704928241670132,0.010911919599883092,0.13717841782710213
0.9,1.2,1.08,C6,16,0.022530028596520424,0.03819171859959082,0.1098986188273943
0.9,1.2,1.08,C7,17,nan,0.055339020827978536,0.10366323619888965
0.9,1.2,1.08,C8,18,nan,0.028059221828270805,0.06469209477073559
0.9,1.2,1.08,C9,19,nan,0.22057666048335106,0.25097415079731195
0.68,1.2,0.8160000000000001,c,10,nan,0.03429460445677543,0.18550263319801316
0.68,1.2,0.8160000000000001,C1,11,0.0003723276313394308,0.13951668631279096,0.04052998708528008
0.68,1.2,0.8160000000000001,C2,12,0.002197274239733815,0.10833977317026784,0.06703036325642484
0.68,1.2,0.8160000000000001,C3,13,0.006458987481892109,0.05689786648510469,0.11847226994158819
0.68,1.2,0.8160000000000001,C4,14,0.017736947163939476,0.024941530514018494,0.13172245802716057
0.68,1.2,0.8160000000000001,C5,15,0.007629044353961945,0.01558845657126156,0.11067804165595738
0.68,1.2,0.8160000000000001,C6,16,0.01499131228774786,0.017926725056950792,0.08963362528475419
0.68,1.2,0.8160000000000001,C7,17,nan,0.036632872942464666,0.0849570883133757
0.68,1.2,0.8160000000000001,C8,18,nan,0.01870614788551387,0.05533902082797862
0.68,1.2,0.8160000000000001,C9,19,nan,0.2190178148262249,0.2494153051401858
0.94,1.2,1.128,c,10,nan,0.04754479254234775,0.19875282128358554
0.94,1.2,1.128,C1,11,0.0006633381708525121,0.12626649822721864,0.05378017517085246
0.94,1.2,1.128,C2,12,0.0025467427913099527,0.08729535679906474,0.08807477962762802
0.94,1.2,1.128,C3,13,0.002363689476624131,0.02338268485689234,0.15198745156980067
0.94,1.2,1.128,C4,14,0.014247352257370949,0.010132496771320013,0.1465314917698591
0.94,1.2,1.128,C5,15,0.010651648975908756,0.013250188085572325,0.13951668631279138
0.94,1.2,1.128,C6,16,0.02985203079879284,0.04208883274240621,0.1137957329702097
0.94,1.2,1.128,C7,17,nan,0.04910363819947391,0.097427853570385
0.94,1.2,1.128,C8,18,nan,0.04208883274240621,0.07872170568487105
0.94,1.2,1.128,C9,19,nan,0.2190178148262249,0.2494153051401858
0.6,1.2,0.72,c,10,nan,0.028838644656833883,0.1800466733980716
0.6,1.2,0.72,C1,11,0.0004660460108425468,0.14964918308411096,0.03039749031396003
0.6,1.2,0.72,C2,12,0.0027026571333408356,0.11145746448452015,0.06391267194217251
0.6,1.2,0.72,C3,13,0.00541179021820426,0.06547151759929855,0.1098986188273943
0.6,1.2,0.72,C4,14,0.016106201335787773,0.038971141428153895,0.1176928471130251
0.6,1.2,0.72,C5,15,0.008541569113731384,0.028059221828270805,0.09820727639894808
0.6,1.2,0.72,C6,16,0.010224316269159317,0.014029610914135402,0.08573651114193878
0.6,1.2,0.72,C7,17,nan,0.017926725056950792,0.06625094042786175
0.6,1.2,0.72,C8,18,nan,0.01558845657126156,0.052221329513726295
0.6,1.2,0.72,C9,19,nan,0.23070915725467106,0.261106647568632
0.72,1.2,0.864,c,10,nan,0.03741229577102774,0.18862032451226549
0.72,1.2,0.864,C1,11,0.0009041650337167084,0.13561957216997556,0.044427101228095484
0.72,1.2,0.864,C2,12,0.0015116656431928277,0.10756035034170476,0.06780978608498792
0.72,1.2,0.864,C3,13,0.0044187987223267555,0.05611844365654161,0.11925169277015127
0.72,1.2,0.864,C4,14,0.01798551343381405,0.017926725056950792,0.1387372634842283
0.72,1.2,0.864,C5,15,0.00880011823028326,0.013250188085572325,0.11301631014164662
0.72,1.2,0.864,C6,16,0.013215303421020508,0.027279798999707727,0.09898669922751116
0.72,1.2,0.864,C7,17,nan,0.027279798999707727,0.07560401437061873
0.72,1.2,0.864,C8,18,nan,0.028838644656833883,0.06547151759929867
0.72,1.2,0.864,C9,19,nan,0.22447377462616644,0.25487126494012735
0.96,1.2,1.152,c,10,nan,0.051441906685163144,0.20264993542640095
0.96,1.2,1.152,C1,11,0.000664473045617342,0.12704592105578172,0.053000752342289376
0.96,1.2,1.152,C2,12,0.002296133665367961,0.08573651114193857,0.08963362528475419
0.96,1.2,1.152,C3,13,0.0032872133888304234,0.032735758799649274,0.1426343776270437
0.96,1.2,1.152,C4,14,0.018949879333376884,0.0046765369713784675,0.15198745156980067
0.96,1.2,1.152,C5,15,0.011163421906530857,0.024941530514018494,0.1512080287412376
0.96,1.2,1.152,C6,16,0.030910497531294823,0.04910363819947391,0.12081053842727743
0.96,1.2,1.152,C7,17,nan,0.051441906685163144,0.09976612205607424
0.96,1.2,1.152,C8,18,nan,0.038971141428153895,0.07560401437061873
0.96,1.2,1.152,C9,19,nan,0.21979723765478798,0.25019472796874886
0.92,1.2,1.104,c,10,nan,0.04130940991384313,0.1925174386550809
0.92,1.2,1.104,C1,11,0.0019469937542453408,0.12470765257009248,0.05533902082797862
0.92,1.2,1.104,C2,12,0.0029586360324174166,0.07950112851343395,0.09586900791325884
0.92,1.2,1.104,C3,13,0.0033498983830213547,0.04988306102803699,0.12548707539865592
0.92,1.2,1.104,C4,14,0.026318836957216263,0.008573651114193857,0.16523763965537305
0.92,1.2,1.104,C5,15,0.011511695571243763,0.00779422828563078,0.1340607265128498
0.92,1.2,1.104,C6,16,0.022109903395175934,0.04364767839953237,0.11535457862733586
0.92,1.2,1.104,C7,17,5.456969528620835e-16,0.05689786648510469,0.10522208185601581
0.92,1.2,1.104,C8,18,nan,0.02650037617114465,0.06313324911360943
0.92,1.2,1.104,C9,19,nan,0.22525319745472952,0.25565068776869043
0.64,1.2,0.768,c,10,nan,0.028059221828270805,0.1792672505695085
0.64,1.2,0.768,C1,11,0.0005214083357714117,0.14029610914135404,0.039750564256717
0.64,1.2,0.768,C2,12,0.0025515451561659575,0.10989861882739399,0.06547151759929867
0.64,1.2,0.768,C3,13,0.0061650751158595085,0.06079498062792008,0.11457515579877278
0.64,1.2,0.768,C4,14,0.015568124130368233,0.032735758799649274,0.12392822974152976
0.64,1.2,0.768,C5,15,0.00821723323315382,0.017147302228387715,0.10911919599883121
0.64,1.2,0.768,C6,16,0.015516572631895542,0.01870614788551387,0.09041304811331727
0.64,1.2,0.768,C7,17,nan,0.017147302228387715,0.06547151759929867
0.64,1.2,0.768,C8,18,nan,0.033515181628212355,0.07014805457067716
0.64,1.2,0.768,C9,19,nan,0.2159001235119726,0.2462976138259335
0.48,1.2,0.576,c,10,nan,0.03195633597108619,0.18316436471232392
0.48,1.2,0.576,C1,11,0.0007848916575312614,0.15744341136974174,0.022603262028329255
0.48,1.2,0.576,C2,12,0.002201223047450185,0.1239282297415294,0.05144190668516321
0.48,1.2,0.576,C3,13,0.005058825947344303,0.08339824265624934,0.09197189377044343
0.48,1.2,0.576,C4,14,0.01548896636813879,0.04910363819947391,0.10756035034170505
0.48,1.2,0.576,C5,15,0.009659589268267155,0.03429460445677543,0.09197189377044343
0.48,1.2,0.576,C6,16,0.006837140303105116,0.0046765369713784675,0.06703036325642484
0.48,1.2,0.576,C7,17,nan,0.001558845657126156,0.04988306102803705
0.48,1.2,0.576,C8,18,nan,0.02260326202832926,0.059236134970794024
0.48,1.2,0.576,C9,19,nan,0.2159001235119726,0.2462976138259335
0.56,1.2,0.672,c,10,nan,0.03195633597108619,0.18316436471232392
0.56,1.2,0.672,C1,11,0.0005589926149696112,0.14964918308411096,0.03039749031396003
0.56,1.2,0.672,C2,12,0.0020834547467529774,0.11769284711302477,0.05767728931366786
0.56,1.2,0.672,C3,13,0.005470970645546913,0.07014805457067702,0.10522208185601581
0.56,1.2,0.672,C4,14,0.01480226218700409,0.035853450113901585,0.12081053842727743
0.56,1.2,0.672,C5,15,0.006941493600606918,0.03195633597108619,0.09431016225613267
0.56,1.2,0.672,C6,16,0.010554876178503036,0.00779422828563078,0.07950112851343413
0.56,1.2,0.672,C7,17,nan,0.03039749031396004,0.07872170568487105
0.56,1.2,0.672,C8,18,nan,0.012470765257009247,0.04910363819947397
0.56,1.2,0.672,C9,19,nan,0.22369435179760336,0.25409184211156427
0.52,1.2,0.624,c,10,nan,0.02338268485689234,0.17459071359813003
0.52,1.2,0.624,C1,11,0.0008252793340943754,0.1519874515698002,0.028059221828270798
0.52,1.2,0.624,C2,12,0.0031775899697095156,0.1239282297415294,0.05144190668516321
0.52,1.2,0.624,C3,13,0.0059309168718755245,0.0810599741705601,0.09431016225613267
0.52,1.2,0.624,C4,14,0.017949875444173813,0.035853450113901585,0.12081053842727743
0.52,1.2,0.624,C5,15,0.00804325845092535,0.036632872942464666,0.08963362528475419
0.52,1.2,0.624,C6,16,0.007383601740002632,0.0023382684856892337,0.06936863174211408
0.52,1.2,0.624,C7,17,nan,0.024941530514018494,0.07326574588492948
0.52,1.2,0.624,C8,18,nan,0.02338268485689234,0.060015557799357105
0.52,1.2,0.624,C9,19,nan,0.21512070068340952,0.2455181909973704
